entgo.io/ent/cmd/ent	entity framework code generator
github.com/99designs/gqlgen	GraphQL server generator
github.com/air-verse/air	live reload for Go apps
github.com/bufbuild/buf/cmd/buf	Protocol Buffers toolchain
github.com/cespare/reflex	watch files and rerun commands
github.com/charmbracelet/glow/v2	terminal markdown renderer
github.com/charmbracelet/gum	glamorous shell scripts
github.com/cortesi/modd/cmd/modd	developer daemon and file watcher
github.com/cucumber/godog/cmd/godog	BDD test runner
github.com/cweill/gotests/gotests	generate Go tests
github.com/elastic/crd-ref-docs	CRD Reference Documentation Generator
github.com/evilmartians/lefthook/v2	Git hooks manager
github.com/go-delve/delve/cmd/dlv	Delve debugger
github.com/golangci/golangci-lint/v2/cmd/golangci-lint	Go linter collection
github.com/google/addlicense	add license headers
github.com/google/go-licenses	analyze Go package licenses
github.com/goreleaser/goreleaser/v2	release automation for Go projects
github.com/go-swagger/go-swagger/cmd/swagger	Go Swagger OpenAPI 2.0 tool
github.com/go-task/task/v3/cmd/task	task runner https://taskfile.dev
github.com/grpc-ecosystem/grpc-gateway/v2/protoc-gen-grpc-gateway	gRPC-Gateway generator
github.com/grpc-ecosystem/grpc-gateway/v2/protoc-gen-openapiv2	OpenAPI generator for gRPC-Gateway
github.com/grpc-ecosystem/grpc-gateway/v2/protoc-gen-openapiv3	OpenAPI generator for gRPC-Gateway
github.com/jstemmer/go-junit-report/v2	convert go test output to JUnit XML
github.com/kubernetes/code-generator/cmd/client-gen	Kubernetes client generator
github.com/mikefarah/yq/v4	YAML, JSON, INI and XML processor
github.com/nametake/golangci-lint-langserver	golangci-lint language server
github.com/oapi-codegen/oapi-codegen/v2/cmd/oapi-codegen	OpenAPI Go code generator
github.com/onsi/ginkgo/v2/ginkgo	Ginkgo Go test runner
github.com/pressly/goose/v3/cmd/goose	database migration tool
github.com/projectdiscovery/httpx/cmd/httpx	HTTP toolkit
github.com/projectdiscovery/nuclei/v3/cmd/nuclei	vulnerability scanner
github.com/projectdiscovery/subfinder/v2/cmd/subfinder	subdomain discovery tool
github.com/rakyll/gotest	go test with colors
github.com/reviewdog/reviewdog	automated code review comments
github.com/securego/gosec/v2/cmd/gosec	Go security checker
github.com/sqlc-dev/sqlc/cmd/sqlc	generate Go from SQL
github.com/swaggo/swag/cmd/swag	generate Swagger docs
github.com/swaggo/swag/v2/cmd/swag	generate Swagger docs
github.com/tomnomnom/assetfinder	find related domains
github.com/tomnomnom/gron	make JSON greppable
github.com/tomnomnom/httprobe	probe HTTP and HTTPS servers
github.com/vadimi/grpc-client-cli/cmd/grpc-client-cli	gRPC client CLI
github.com/vektra/mockery/v3	generate mocks for interfaces
golang.org/x/tools/cmd/godoc	serve Go documentation
golang.org/x/tools/cmd/goimports	update imports in Go source files
golang.org/x/tools/cmd/stringer	generate String methods for integer types
golang.org/x/tools/gopls	Go language server https://go.dev/gopls
google.golang.org/grpc/cmd/protoc-gen-go-grpc	Go gRPC code generator
google.golang.org/protobuf/cmd/protoc-gen-go	Go protobuf code generator
go.uber.org/mock/mockgen	generate Go mocks
honnef.co/go/tools/cmd/staticcheck	static analysis for Go programs
mvdan.cc/gofumpt	stricter gofmt
mvdan.cc/sh/v3/cmd/shfmt	shell formatter
oras.land/oras/cmd/oras	OCI registry client https://oras.land
sigs.k8s.io/controller-runtime/tools/setup-envtest	Kubernetes controller testenv tool
sigs.k8s.io/controller-tools/cmd/controller-gen	Kubernetes controller code generator
sigs.k8s.io/cri-tools/cmd/crictl	CLI for Container Runtime Interface
sigs.k8s.io/kind	Kubernetes IN Docker
sigs.k8s.io/kustomize/kustomize/v5	Kubernetes customization for YAML configurations
